,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
867,4265,39035178102,Census Tract 1781.02  Cuyahoga County  Ohio,41.398883000000005,-81.760386,2.0026844163999895
868,5672,39151713502,Census Tract 7135.02  Stark County  Ohio,40.797529600000004,-81.4771684,2.0037234473657506
869,4126,39013012300,Census Tract 123  Belmont County  Ohio,40.085831,-80.92513670000001,2.0064073815384975
870,4979,39035178204,Census Tract 1782.04  Cuyahoga County  Ohio,41.3777505,-81.7534266,2.0071430249523585
871,2963,39035123900,Census Tract 1239  Cuyahoga County  Ohio,41.452524,-81.7845672,2.00773170144144
872,3062,39153531602,Census Tract 5316.02  Summit County  Ohio,40.9318011,-81.550648,2.0097894891239907
873,3232,39035160400,Census Tract 1604  Cuyahoga County  Ohio,41.4925075,-81.802003,2.010790883368998
874,2856,39035161300,Census Tract 1613  Cuyahoga County  Ohio,41.4776218,-81.7973026,2.014013134899548
875,3194,39035175202,Census Tract 1752.02  Cuyahoga County  Ohio,41.2932425,-81.72152879999999,2.0164671639438145
876,2989,39035123200,Census Tract 1232  Cuyahoga County  Ohio,41.4649201,-81.7934531,2.017195700066396
877,3754,39035124600,Census Tract 1246  Cuyahoga County  Ohio,41.42726270000001,-81.7782395,2.0175225678022404
878,4127,39035177607,Census Tract 1776.07  Cuyahoga County  Ohio,41.357310999999996,-81.749365,2.017896179201
879,4404,39035124300,Census Tract 1243  Cuyahoga County  Ohio,41.4408102,-81.7852054,2.0210102661123495
880,4165,39153532004,Census Tract 5320.04  Summit County  Ohio,41.044018200000004,-81.6127542,2.024608770459233
881,3829,39151714302,Census Tract 7143.02  Stark County  Ohio,40.800465,-81.49106429999999,2.0264996408628715
882,5509,39157020400,Census Tract 204  Tuscarawas County  Ohio,40.556555100000004,-81.3496053,2.0267128027044756
883,3804,39151711411,Census Tract 7114.11  Stark County  Ohio,40.847839,-81.5162556,2.026721778268149
884,4123,39035177101,Census Tract 1771.01  Cuyahoga County  Ohio,41.4111051,-81.7756429,2.027354978993597
